date,name,reviewed
2028-01-01,Πρωτοχρονιά,no
2028-01-06,Θεοφάνεια,no
2028-02-28,Καθαρά Δευτέρα,no
2028-03-25,25η Μαρτίου,no
2028-04-14,Μεγάλη Παρασκευή,no
2028-04-17,Δευτέρα του Πάσχα,no
2028-05-01,Εργατική Πρωτομαγιά,no
2028-06-05,Αγίου Πνεύματος,no
2028-08-15,Κοίμηση της Θεοτόκου,no
2028-10-28,28η Οκτωβρίου,no
2028-12-25,Χριστούγεννα,no
2028-12-26,Σύναξη της Θεοτόκου,no
