date,name,reviewed
2026-01-01,Πρωτοχρονιά,no
2026-01-06,Θεοφάνεια,no
2026-02-23,Καθαρά Δευτέρα,no
2026-03-25,25η Μαρτίου,no
2026-04-10,Μεγάλη Παρασκευή,no
2026-04-13,Δευτέρα του Πάσχα,no
2026-05-01,Εργατική Πρωτομαγιά,no
2026-06-01,Αγίου Πνεύματος,no
2026-08-15,Κοίμηση της Θεοτόκου,no
2026-10-28,28η Οκτωβρίου,no
2026-12-25,Χριστούγεννα,no
2026-12-26,Σύναξη της Θεοτόκου,no
