date,name,reviewed
2029-01-01,Πρωτοχρονιά,no
2029-01-06,Θεοφάνεια,no
2029-02-19,Καθαρά Δευτέρα,no
2029-03-25,25η Μαρτίου,no
2029-04-06,Μεγάλη Παρασκευή,no
2029-04-09,Δευτέρα του Πάσχα,no
2029-05-01,Εργατική Πρωτομαγιά,no
2029-05-28,Αγίου Πνεύματος,no
2029-08-15,Κοίμηση της Θεοτόκου,no
2029-10-28,28η Οκτωβρίου,no
2029-12-25,Χριστούγεννα,no
2029-12-26,Σύναξη της Θεοτόκου,no
