date,name,reviewed
2027-01-01,Πρωτοχρονιά,no
2027-01-06,Θεοφάνεια,no
2027-03-15,Καθαρά Δευτέρα,no
2027-03-25,25η Μαρτίου,no
2027-04-30,Μεγάλη Παρασκευή,no
2027-05-01,Εργατική Πρωτομαγιά,no
2027-05-03,Δευτέρα του Πάσχα,no
2027-06-21,Αγίου Πνεύματος,no
2027-08-15,Κοίμηση της Θεοτόκου,no
2027-10-28,28η Οκτωβρίου,no
2027-12-25,Χριστούγεννα,no
2027-12-26,Σύναξη της Θεοτόκου,no
